               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081199,            0.037823,                   0,           0.0091147,             0.36364,           0.0075315,           0.0014996,            0.065323,            0.023739,                   0,             0.00056,             0.00056,             0.09496
                   1,            0.067785,            0.037799,                   0,            0.028076,             0.63636,            0.025456,           0.0038578,            0.049559,            0.023458,                   0,           0.0011297,           0.0011297,             0.08983
                   2,             0.06712,            0.042239,                   0,              0.2336,             0.24242,             0.11642,             0.03179,            0.040188,            0.021574,                   0,           0.0016985,           0.0016985,            0.084698
                   3,            0.053739,            0.038617,                   0,             0.71125,             0.30303,             0.39556,             0.10477,            0.033776,            0.018934,                   0,           0.0022655,           0.0022655,            0.079565
                   4,            0.048283,            0.040031,                   0,             0.66575,             0.42424,             0.47363,             0.14952,            0.029731,            0.017532,                   0,           0.0028299,           0.0028299,             0.07443
                   5,            0.044431,            0.035379,                   0,             0.46772,             0.45455,             0.34491,             0.10957,            0.031525,             0.01577,                   0,           0.0033911,           0.0033911,            0.069291
                   6,            0.045628,            0.038472,                   0,             0.68935,             0.60523,             0.59146,             0.20229,            0.030104,            0.013179,                   0,           0.0039483,           0.0039483,            0.064148
                   7,            0.047121,            0.032745,                   0,             0.45408,             0.60496,             0.48734,             0.12289,            0.031208,            0.012478,                   0,           0.0045007,           0.0045007,            0.059001
                   8,            0.042139,            0.033009,                   0,             0.48713,             0.63328,             0.52603,             0.24074,            0.026724,              0.0127,                   0,           0.0050476,           0.0050476,            0.053848
                   9,            0.042767,            0.034745,                   0,             0.49953,             0.63636,             0.53013,             0.19511,            0.033736,              0.0115,                   0,           0.0055883,           0.0055883,            0.048688
                  10,              0.0447,            0.030315,                   0,               0.507,             0.60606,             0.58695,             0.30536,            0.032169,            0.011063,                   0,           0.0061221,           0.0061221,            0.043522
                  11,            0.047127,            0.030559,                   0,             0.45997,             0.60606,             0.46013,             0.12661,            0.036624,            0.010256,                   0,           0.0066483,           0.0066483,            0.038348
                  12,            0.042572,            0.026646,                   0,             0.62401,             0.45455,             0.53815,             0.14526,            0.033316,           0.0099601,                   0,           0.0071662,           0.0071662,            0.033166
                  13,            0.041703,            0.032557,                   0,             0.51327,             0.57576,             0.53225,             0.18694,            0.028934,            0.010517,                   0,            0.007675,            0.007675,            0.027975
                  14,            0.048858,            0.032821,                   0,             0.32698,             0.60606,             0.30928,            0.060982,            0.037023,           0.0094245,                   0,           0.0081743,           0.0081743,            0.022774
                  15,             0.04709,            0.026586,                   0,             0.47276,             0.54349,              0.4765,             0.15727,            0.034952,           0.0089857,                   0,           0.0086632,           0.0086632,            0.017563
                  16,            0.046872,            0.030167,                   0,             0.55523,             0.72727,             0.66715,             0.26496,            0.035879,           0.0087639,                   0,           0.0091412,           0.0091412,            0.012341
                  17,            0.047441,             0.02611,                   0,             0.66652,             0.66667,             0.58754,             0.25506,            0.032162,           0.0098235,                   0,           0.0093733,           0.0093733,           0.0093733
                  18,            0.044193,            0.025755,                   0,             0.61997,             0.69697,             0.55611,             0.22413,            0.034482,           0.0087949,                   0,           0.0093733,           0.0093733,           0.0093733
                  19,            0.040668,            0.023264,                   0,             0.75426,             0.57576,             0.56716,             0.25757,            0.033893,           0.0093773,                   0,           0.0092995,           0.0092995,           0.0092995
                  20,            0.040803,            0.026395,                   0,             0.63556,             0.63636,             0.54942,             0.29396,            0.031205,           0.0099077,                   0,           0.0092219,           0.0092219,           0.0092219
                  21,             0.04089,            0.024409,                   0,             0.66449,             0.66667,             0.58613,             0.23645,            0.031002,           0.0095928,                   0,           0.0091406,           0.0091406,           0.0091406
                  22,            0.040258,            0.024217,                   0,             0.70884,             0.66667,             0.67188,             0.28345,            0.030717,           0.0098556,                   0,           0.0090557,           0.0090557,           0.0090557
                  23,            0.040025,            0.026728,                   0,             0.64483,             0.60606,             0.61378,             0.24573,            0.032735,           0.0093947,                   0,           0.0089673,           0.0089673,           0.0089673
                  24,            0.039601,            0.026017,                   0,             0.88964,             0.60606,             0.72996,             0.41779,            0.030735,           0.0086944,                   0,           0.0088755,           0.0088755,           0.0088755
                  25,            0.038669,            0.026431,                   0,             0.95607,             0.66667,             0.74893,             0.31646,            0.027758,           0.0091555,                   0,           0.0087804,           0.0087804,           0.0087804
                  26,            0.038937,            0.025047,                   0,             0.61847,             0.78788,              0.6138,              0.3248,            0.029876,            0.010099,                   0,            0.008682,            0.008682,            0.008682
                  27,            0.041035,            0.033012,                   0,             0.78116,             0.75718,             0.69554,             0.33762,             0.02684,           0.0099287,                   0,           0.0085805,           0.0085805,           0.0085805
                  28,            0.037614,            0.027711,                   0,              0.7652,             0.69697,             0.73427,             0.36331,            0.026897,           0.0093829,                   0,           0.0084759,           0.0084759,           0.0084759
                  29,            0.034257,            0.025285,                   0,             0.87596,             0.66667,             0.74771,             0.43389,            0.026454,           0.0097001,                   0,           0.0083684,           0.0083684,           0.0083684
                  30,            0.035588,            0.024423,                   0,              0.8274,             0.72727,             0.74215,              0.3472,             0.02866,           0.0087315,                   0,           0.0082581,           0.0082581,           0.0082581
                  31,             0.03862,            0.022838,                   0,             0.92584,             0.75668,             0.80253,             0.42836,            0.026507,           0.0085094,                   0,            0.008145,            0.008145,            0.008145
                  32,            0.035958,            0.023445,                   0,             0.91958,             0.69697,              0.8094,             0.47938,            0.024493,           0.0089642,                   0,           0.0080294,           0.0080294,           0.0080294
                  33,            0.032875,            0.023658,                   0,             0.85141,             0.69697,             0.75948,             0.42391,            0.023696,           0.0084756,                   0,           0.0079112,           0.0079112,           0.0079112
                  34,            0.030691,            0.022344,                   0,             0.70976,             0.81818,             0.74181,             0.49491,            0.022292,           0.0085168,                   0,           0.0077907,           0.0077907,           0.0077907
                  35,            0.034371,            0.030534,                   0,             0.76424,             0.78788,             0.72351,             0.40022,            0.023948,           0.0086332,                   0,           0.0076679,           0.0076679,           0.0076679
                  36,            0.031328,            0.020775,                   0,             0.73491,             0.75758,             0.70902,             0.43897,            0.022578,           0.0086588,                   0,            0.007543,            0.007543,            0.007543
                  37,            0.030919,            0.026588,                   0,             0.74985,             0.72727,             0.69298,             0.41992,            0.021608,           0.0094204,                   0,            0.007416,            0.007416,            0.007416
                  38,            0.028515,            0.024885,                   0,             0.82074,             0.69697,             0.70111,             0.42878,            0.024876,           0.0091934,                   0,           0.0072872,           0.0072872,           0.0072872
                  39,            0.030014,            0.022581,                   0,              0.6919,             0.81667,             0.69109,             0.43604,            0.020318,           0.0096051,                   0,           0.0071566,           0.0071566,           0.0071566
                  40,            0.030031,            0.024571,                   0,              0.6944,             0.75758,             0.65959,             0.42376,            0.021942,           0.0095301,                   0,           0.0070243,           0.0070243,           0.0070243
                  41,            0.034796,            0.029112,                   0,             0.78723,             0.78788,             0.75769,             0.49799,            0.020635,           0.0093401,                   0,           0.0068906,           0.0068906,           0.0068906
                  42,              0.0296,            0.026035,                   0,             0.95997,             0.72676,             0.83815,             0.56112,            0.018232,           0.0091885,                   0,           0.0067555,           0.0067555,           0.0067555
                  43,             0.02471,            0.026193,                   0,             0.76311,             0.87855,             0.83915,             0.48754,            0.020152,           0.0089186,                   0,           0.0066191,           0.0066191,           0.0066191
                  44,            0.025306,            0.023696,                   0,             0.93098,             0.81757,             0.84823,              0.5228,            0.017229,           0.0090259,                   0,           0.0064816,           0.0064816,           0.0064816
                  45,            0.024208,             0.01904,                   0,             0.81792,             0.81818,             0.81248,             0.50652,            0.019386,           0.0088264,                   0,           0.0063432,           0.0063432,           0.0063432
                  46,             0.02583,            0.025448,                   0,             0.79365,             0.81818,             0.75814,             0.46224,            0.019204,           0.0092825,                   0,            0.006204,            0.006204,            0.006204
                  47,            0.024342,             0.02469,                   0,             0.75667,             0.84812,             0.76573,             0.49281,             0.01829,           0.0092964,                   0,            0.006064,            0.006064,            0.006064
                  48,            0.025176,             0.02487,                   0,             0.86149,             0.75758,             0.78201,              0.4137,            0.020447,           0.0092588,                   0,           0.0059235,           0.0059235,           0.0059235
                  49,            0.025272,            0.025124,                   0,             0.85181,             0.69676,             0.75777,             0.44563,            0.020229,           0.0091221,                   0,           0.0057826,           0.0057826,           0.0057826
                  50,            0.023606,             0.02237,                   0,             0.88392,             0.69697,             0.78183,             0.43462,            0.020116,           0.0087652,                   0,           0.0056413,           0.0056413,           0.0056413
                  51,            0.027047,            0.028023,                   0,             0.89985,             0.81818,             0.82652,             0.49731,            0.018406,           0.0082898,                   0,              0.0055,              0.0055,              0.0055
                  52,            0.022919,            0.024008,                   0,             0.84369,             0.81818,              0.8006,              0.4806,            0.018689,           0.0088619,                   0,           0.0053587,           0.0053587,           0.0053587
                  53,            0.023115,            0.024661,                   0,             0.78612,             0.78788,             0.75431,             0.40275,            0.020249,           0.0089408,                   0,           0.0052174,           0.0052174,           0.0052174
                  54,            0.025395,            0.022765,                   0,             0.81248,             0.78788,             0.78284,             0.49132,            0.017875,           0.0088045,                   0,           0.0050765,           0.0050765,           0.0050765
                  55,            0.020424,            0.020238,                   0,             0.80578,             0.75758,             0.81485,             0.55157,            0.015085,           0.0091037,                   0,            0.004936,            0.004936,            0.004936
                  56,            0.021249,            0.022344,                   0,             0.80643,             0.75749,             0.83107,             0.56704,            0.014918,           0.0088656,                   0,            0.004796,            0.004796,            0.004796
                  57,            0.020055,            0.019774,                   0,             0.79981,             0.84751,             0.84332,             0.57505,            0.014987,           0.0087926,                   0,           0.0046568,           0.0046568,           0.0046568
                  58,            0.022518,            0.024643,                   0,             0.86659,             0.78738,             0.84475,             0.59254,            0.015877,           0.0085688,                   0,           0.0045184,           0.0045184,           0.0045184
                  59,             0.01947,            0.019204,                   0,             0.86667,             0.78787,             0.84898,             0.55626,            0.016818,           0.0083079,                   0,           0.0043809,           0.0043809,           0.0043809
                  60,            0.019183,             0.02102,                   0,             0.95999,             0.72703,             0.85254,             0.60254,            0.016368,            0.008131,                   0,           0.0042445,           0.0042445,           0.0042445
                  61,            0.020836,            0.023128,                   0,              0.9591,             0.72727,             0.84392,             0.59127,            0.016216,           0.0083138,                   0,           0.0041094,           0.0041094,           0.0041094
                  62,              0.0198,            0.021728,                   0,             0.92295,             0.72727,             0.84778,             0.60526,            0.015553,           0.0082369,                   0,           0.0039757,           0.0039757,           0.0039757
                  63,            0.019039,            0.019864,                   0,             0.99984,             0.72727,             0.83534,             0.57107,            0.017873,           0.0082528,                   0,           0.0038434,           0.0038434,           0.0038434
                  64,            0.019699,             0.02212,                   0,             0.96153,             0.75732,              0.8309,              0.5817,            0.015928,            0.008373,                   0,           0.0037128,           0.0037128,           0.0037128
